Price,Year of built,Size(m2),Floor,HeatingType,N_elevators,N_FacilitiesNearBy(Park),N_SchoolNearBy(Total)
38053,1992,32.9805792,13,individual_heating,10,1,17
38053,1992,32.9805792,15,individual_heating,10,1,17
38053,1992,32.9805792,10,individual_heating,10,1,17
38053,1992,32.9805792,11,individual_heating,10,1,17
38053,1992,32.9805792,3,individual_heating,10,1,17
38053,1992,32.9805792,1,individual_heating,10,1,17
38495,1992,32.9805792,13,individual_heating,10,1,17
38495,1992,32.9805792,13,individual_heating,10,1,17
38584,1992,32.9805792,9,individual_heating,10,1,17
38761,1992,32.9805792,3,individual_heating,10,1,17
38938,1992,32.9805792,13,individual_heating,10,1,17
38938,1992,32.9805792,10,individual_heating,10,1,17
38938,1992,32.9805792,11,individual_heating,10,1,17
38938,1992,32.9805792,12,individual_heating,10,1,17
38938,1992,32.9805792,2,individual_heating,10,1,17
38938,1992,32.9805792,7,individual_heating,10,1,17
39380,1992,32.9805792,8,individual_heating,10,1,17
39380,1992,32.9805792,3,individual_heating,10,1,17
39823,1992,32.9805792,5,individual_heating,10,1,17
39823,1992,32.9805792,12,individual_heating,10,1,17
39823,1992,32.9805792,8,individual_heating,10,1,17
39823,1992,32.9805792,3,individual_heating,10,1,17
39823,1992,32.9805792,13,individual_heating,10,1,17
39823,1992,32.9805792,11,individual_heating,10,1,17
39823,1992,32.9805792,1,individual_heating,10,1,17
39823,1992,32.9805792,2,individual_heating,10,1,17
40088,1992,32.9805792,4,individual_heating,10,1,17
40265,1992,32.9805792,12,individual_heating,10,1,17
41061,1992,32.9805792,14,individual_heating,10,1,17
42477,1992,32.9805792,2,individual_heating,10,1,17
43185,1992,32.9805792,13,individual_heating,10,1,17
43362,1992,32.9805792,11,individual_heating,10,1,17
43362,1992,32.9805792,5,individual_heating,10,1,17
44247,1986,47.19474432,1,individual_heating,2,1,13
44247,1992,53.51215104,4,individual_heating,10,1,17
44247,1992,53.51215104,13,individual_heating,10,1,17
44690,1985,46.26571392,7,individual_heating,2,1,4
46017,1992,32.9805792,9,individual_heating,10,1,17
46902,1985,54.53408448,5,individual_heating,2,1,4
46902,1986,41.89927104,5,individual_heating,2,1,13
46902,1992,32.9805792,1,individual_heating,10,1,17
47787,1986,47.19474432,2,individual_heating,2,1,13
48053,1992,32.9805792,8,individual_heating,10,1,17
48672,1985,54.53408448,6,individual_heating,2,1,4
48672,1986,47.19474432,6,individual_heating,2,1,13
48672,1992,53.51215104,3,individual_heating,10,1,17
48672,1992,53.51215104,9,individual_heating,10,1,17
49115,1992,32.9805792,10,individual_heating,10,1,17
49557,1992,53.51215104,13,individual_heating,10,1,17
49557,1992,32.9805792,13,individual_heating,10,1,17
49734,1992,32.9805792,11,individual_heating,10,1,17
51327,1985,54.53408448,8,individual_heating,2,1,4
51327,1986,47.19474432,11,individual_heating,2,1,13
51327,1986,47.19474432,2,individual_heating,2,1,13
51327,1992,53.51215104,1,individual_heating,10,1,17
51327,1992,32.9805792,6,individual_heating,10,1,17
52212,1986,50.81796288,4,individual_heating,2,1,13
52212,1992,32.9805792,3,individual_heating,10,1,17
52477,1986,47.19474432,3,individual_heating,2,1,13
53097,1986,41.89927104,13,individual_heating,2,1,13
53097,1985,54.53408448,4,individual_heating,2,1,4
53097,1992,59.82955776,1,individual_heating,10,1,17
53097,1992,53.51215104,1,individual_heating,10,1,17
53097,1992,53.51215104,12,individual_heating,10,1,17
53097,1985,54.53408448,4,individual_heating,2,1,4
53097,1986,47.19474432,3,individual_heating,2,1,13
53097,1992,32.9805792,8,individual_heating,10,1,17
53097,2014,12.5419104,11,individual_heating,0,0,1
53274,2014,12.5419104,14,individual_heating,0,0,1
53982,1986,41.89927104,9,individual_heating,2,1,13
53982,1997,39.9483072,10,individual_heating,4,1,7
53982,1986,47.19474432,12,individual_heating,2,1,13
53982,1985,54.53408448,7,individual_heating,2,1,4
53982,2014,12.5419104,12,individual_heating,0,0,1
53982,2014,12.5419104,13,individual_heating,0,0,1
53982,2014,12.5419104,19,individual_heating,0,0,1
53982,2014,12.5419104,12,individual_heating,0,0,1
53982,2014,12.5419104,18,individual_heating,0,0,1
54424,2014,12.5419104,15,individual_heating,0,0,1
54867,1992,59.4579456,9,individual_heating,10,1,17
54867,1985,46.26571392,9,individual_heating,2,1,4
54867,1992,32.9805792,9,individual_heating,10,1,17
54867,1980,84.5417664,3,individual_heating,20,0,17
54867,2014,12.82061952,19,individual_heating,0,0,1
54867,2014,12.5419104,19,individual_heating,0,0,1
55309,1985,54.53408448,5,individual_heating,2,1,4
55309,2014,12.5419104,18,individual_heating,0,0,1
55663,2014,12.5419104,13,individual_heating,0,0,1
55752,1992,53.51215104,1,individual_heating,10,1,17
55752,1985,54.53408448,9,individual_heating,2,1,4
55752,1985,54.53408448,9,individual_heating,2,1,4
55752,1997,39.9483072,5,individual_heating,4,1,7
55752,1985,54.53408448,4,individual_heating,2,1,4
55752,1985,54.53408448,4,individual_heating,2,1,4
55752,1986,50.81796288,2,individual_heating,2,1,13
55752,1985,54.53408448,9,individual_heating,2,1,4
55752,1992,53.51215104,5,individual_heating,10,1,17
55752,1986,47.19474432,9,individual_heating,2,1,13
55752,1986,47.19474432,5,individual_heating,2,1,13
55752,1986,47.19474432,3,individual_heating,2,1,13
55752,1992,32.9805792,7,individual_heating,10,1,17
55752,1992,53.51215104,5,individual_heating,10,1,17
55752,2014,12.5419104,12,individual_heating,0,0,1
55752,2014,12.5419104,19,individual_heating,0,0,1
55752,2014,12.5419104,14,individual_heating,0,0,1
55752,2014,14.49287424,15,individual_heating,0,0,1
55752,2014,12.82061952,18,individual_heating,0,0,1
56637,1992,53.51215104,9,individual_heating,10,1,17
56637,1986,47.19474432,7,individual_heating,2,1,13
56637,1986,47.19474432,6,individual_heating,2,1,13
56637,1986,47.19474432,7,individual_heating,2,1,13
56637,2014,12.5419104,18,individual_heating,0,0,1
56637,2014,12.5419104,11,individual_heating,0,0,1
57079,1992,53.51215104,11,individual_heating,10,1,17
57522,1985,54.53408448,7,individual_heating,2,1,4
57522,1985,54.53408448,7,individual_heating,2,1,4
57522,1992,53.51215104,8,individual_heating,10,1,17
57522,1992,53.51215104,15,individual_heating,10,1,17
57522,1986,47.19474432,3,individual_heating,2,1,13
57522,1986,50.81796288,4,individual_heating,2,1,13
57522,1992,53.51215104,15,individual_heating,10,1,17
57522,2014,14.8644864,19,individual_heating,0,0,1
57522,2014,12.5419104,11,individual_heating,0,0,1
57522,2014,12.5419104,19,individual_heating,0,0,1
57522,2014,14.49287424,13,individual_heating,0,0,1
57522,2014,14.49287424,14,individual_heating,0,0,1
57522,2014,14.49287424,15,individual_heating,0,0,1
57522,2014,14.49287424,15,individual_heating,0,0,1
57964,1985,54.53408448,6,individual_heating,2,1,4
57964,1992,53.51215104,10,individual_heating,10,1,17
57964,1992,53.51215104,3,individual_heating,10,1,17
57964,1997,39.9483072,5,individual_heating,4,1,7
58407,1997,39.9483072,8,individual_heating,4,1,7
58407,1997,59.82955776,12,individual_heating,4,1,7
58407,1992,53.51215104,14,individual_heating,10,1,17
58407,2014,14.49287424,12,individual_heating,0,0,1
58407,2014,14.49287424,15,individual_heating,0,0,1
58849,1992,53.51215104,1,individual_heating,10,1,17
58849,1992,53.51215104,9,individual_heating,10,1,17
58849,1997,39.9483072,2,individual_heating,4,1,7
59115,1985,54.53408448,10,individual_heating,2,1,4
59292,1992,53.51215104,5,individual_heating,10,1,17
59292,2014,14.49287424,19,individual_heating,0,0,1
59292,2014,14.49287424,13,individual_heating,0,0,1
59292,2014,14.49287424,13,individual_heating,0,0,1
59734,1985,54.53408448,9,individual_heating,2,1,4
59911,1986,47.19474432,11,individual_heating,2,1,13
59911,2014,14.49287424,17,individual_heating,0,0,1
60000,1992,53.51215104,12,individual_heating,10,1,17
60176,1985,54.53408448,7,individual_heating,2,1,4
60176,1992,53.51215104,14,individual_heating,10,1,17
60176,1992,53.51215104,11,individual_heating,10,1,17
60176,1985,54.53408448,5,individual_heating,2,1,4
60176,1992,53.51215104,11,individual_heating,10,1,17
60176,1992,53.51215104,2,individual_heating,10,1,17
60176,1985,54.53408448,7,individual_heating,2,1,4
60176,1997,59.82955776,11,individual_heating,4,1,7
60176,2014,12.5419104,14,individual_heating,0,0,1
60176,2014,12.5419104,13,individual_heating,0,0,1
60176,2014,14.49287424,16,individual_heating,0,0,1
60176,2014,15.14319552,13,individual_heating,0,0,1
60176,2014,14.49287424,13,individual_heating,0,0,1
60176,2014,14.49287424,13,individual_heating,0,0,1
60176,2014,14.8644864,19,individual_heating,0,0,1
60176,2014,14.49287424,17,individual_heating,0,0,1
60619,1992,53.51215104,2,individual_heating,10,1,17
60619,1992,53.51215104,13,individual_heating,10,1,17
60619,1992,53.51215104,8,individual_heating,10,1,17
60973,2014,12.5419104,18,individual_heating,0,0,1
61061,1985,54.53408448,7,individual_heating,2,1,4
61061,1992,59.4579456,1,individual_heating,10,1,17
61061,1985,54.53408448,10,individual_heating,2,1,4
61504,1992,53.51215104,2,individual_heating,10,1,17
61504,2014,14.49287424,12,individual_heating,0,0,1
61681,1992,53.51215104,11,individual_heating,10,1,17
61681,1997,39.9483072,2,individual_heating,4,1,7
61946,1993,59.82955776,10,individual_heating,20,0,17
61946,1985,62.80245504,7,individual_heating,2,1,4
61946,1992,53.51215104,8,individual_heating,10,1,17
61946,1985,54.53408448,8,individual_heating,2,1,4
61946,1992,53.51215104,12,individual_heating,10,1,17
61946,1985,54.53408448,9,individual_heating,2,1,4
61946,1992,59.4579456,11,individual_heating,10,1,17
61946,1992,53.51215104,11,individual_heating,10,1,17
61946,1992,53.51215104,11,individual_heating,10,1,17
61946,1997,51.83989632,7,individual_heating,4,1,7
61946,1985,62.80245504,5,individual_heating,2,1,4
61946,1992,53.51215104,12,individual_heating,10,1,17
61946,1992,53.51215104,2,individual_heating,10,1,17
61946,1980,68.37663744,4,individual_heating,20,0,17
61946,1985,54.53408448,7,individual_heating,2,1,4
61946,1992,32.9805792,5,individual_heating,10,1,17
61946,2014,14.49287424,14,individual_heating,0,0,1
61946,1992,32.9805792,7,individual_heating,10,1,17
61946,1985,46.26571392,9,individual_heating,2,1,4
62389,1992,53.51215104,13,individual_heating,10,1,17
62389,1986,47.19474432,3,individual_heating,2,1,13
62831,1992,53.51215104,14,individual_heating,10,1,17
62831,1992,53.51215104,11,individual_heating,10,1,17
62831,1992,32.9805792,1,individual_heating,10,1,17
62831,2014,12.5419104,11,individual_heating,0,0,1
62831,2014,14.49287424,14,individual_heating,0,0,1
63274,1997,51.83989632,11,individual_heating,4,1,7
63274,1992,32.9805792,4,individual_heating,10,1,17
63716,1992,53.51215104,7,individual_heating,10,1,17
63716,1997,59.82955776,1,individual_heating,4,1,7
63716,1992,59.4579456,4,individual_heating,10,1,17
63716,1992,59.82955776,11,individual_heating,10,1,17
63716,1992,53.51215104,8,individual_heating,10,1,17
63716,1992,59.4579456,2,individual_heating,10,1,17
63716,1992,53.51215104,14,individual_heating,10,1,17
63716,1986,47.19474432,11,individual_heating,2,1,13
63716,1992,32.9805792,2,individual_heating,10,1,17
63716,1992,32.9805792,6,individual_heating,10,1,17
63893,1992,53.51215104,11,individual_heating,10,1,17
63893,2014,14.49287424,12,individual_heating,0,0,1
64159,1992,53.51215104,3,individual_heating,10,1,17
64159,1992,32.9805792,9,individual_heating,10,1,17
64601,1992,53.51215104,5,individual_heating,10,1,17
64601,1992,53.51215104,10,individual_heating,10,1,17
64601,1997,51.83989632,13,individual_heating,4,1,7
64601,1992,59.4579456,8,individual_heating,10,1,17
64601,1997,51.83989632,4,individual_heating,4,1,7
64601,1985,62.80245504,10,individual_heating,2,1,4
64601,1992,53.51215104,4,individual_heating,10,1,17
64601,1986,47.19474432,11,individual_heating,2,1,13
64601,1992,32.9805792,11,individual_heating,10,1,17
65044,1992,53.51215104,11,individual_heating,10,1,17
65044,2014,14.49287424,11,individual_heating,0,0,1
65486,1992,53.51215104,11,individual_heating,10,1,17
65486,1992,59.82955776,6,individual_heating,10,1,17
65486,1997,51.83989632,5,individual_heating,4,1,7
65486,1992,59.4579456,11,individual_heating,10,1,17
65486,1992,53.51215104,6,individual_heating,10,1,17
65486,1992,53.51215104,11,individual_heating,10,1,17
65486,1986,47.19474432,12,individual_heating,2,1,13
65486,1992,32.9805792,1,individual_heating,10,1,17
65929,1992,53.51215104,7,individual_heating,10,1,17
65929,1992,53.51215104,6,individual_heating,10,1,17
65929,1986,47.19474432,7,individual_heating,2,1,13
65929,1986,47.19474432,7,individual_heating,2,1,13
65929,1986,41.89927104,10,individual_heating,2,1,13
66371,1992,59.4579456,1,individual_heating,10,1,17
66371,1985,54.53408448,6,individual_heating,2,1,4
66371,1992,53.51215104,11,individual_heating,10,1,17
66371,1992,59.4579456,9,individual_heating,10,1,17
66371,1992,59.4579456,15,individual_heating,10,1,17
66371,1985,54.53408448,6,individual_heating,2,1,4
66371,1992,59.4579456,15,individual_heating,10,1,17
66371,1997,51.83989632,6,individual_heating,4,1,7
66371,1992,53.51215104,5,individual_heating,10,1,17
66371,1986,47.19474432,7,individual_heating,2,1,13
66371,1992,32.9805792,4,individual_heating,10,1,17
66814,1997,51.83989632,11,individual_heating,4,1,7
66814,1997,51.83989632,8,individual_heating,4,1,7
66814,1992,53.51215104,11,individual_heating,10,1,17
67256,1992,53.51215104,14,individual_heating,10,1,17
67256,2014,14.49287424,15,individual_heating,0,0,1
68141,1992,59.82955776,6,individual_heating,10,1,17
68141,1997,51.83989632,9,individual_heating,4,1,7
68141,1992,59.4579456,10,individual_heating,10,1,17
68141,1997,51.83989632,13,individual_heating,4,1,7
68141,1992,32.9805792,10,individual_heating,10,1,17
68141,1992,32.9805792,1,individual_heating,10,1,17
68584,1986,41.89927104,9,individual_heating,2,1,13
69026,1992,59.4579456,11,individual_heating,10,1,17
69026,1992,53.51215104,15,individual_heating,10,1,17
69026,1992,32.9805792,8,individual_heating,10,1,17
69026,1992,32.9805792,13,individual_heating,10,1,17
69469,1992,53.51215104,13,individual_heating,10,1,17
69469,1986,47.19474432,7,individual_heating,2,1,13
69911,1997,51.83989632,12,individual_heating,4,1,7
69911,1997,51.83989632,11,individual_heating,4,1,7
69911,1985,54.53408448,9,individual_heating,2,1,4
70353,1992,32.9805792,5,individual_heating,10,1,17
70796,1992,59.82955776,4,individual_heating,8,0,14
70796,1985,62.80245504,8,individual_heating,2,1,4
70796,1997,51.83989632,13,individual_heating,4,1,7
70796,1992,59.82955776,2,individual_heating,8,0,14
70796,1997,51.83989632,10,individual_heating,4,1,7
70796,1993,59.82955776,15,individual_heating,20,0,17
70796,1992,32.9805792,2,individual_heating,10,1,17
70796,1986,47.19474432,12,individual_heating,2,1,13
70796,1992,32.9805792,6,individual_heating,10,1,17
71238,1997,51.83989632,15,individual_heating,4,1,7
71681,1997,59.82955776,10,individual_heating,4,1,7
71681,1992,32.9805792,1,individual_heating,10,1,17
71681,2014,17.83738368,11,individual_heating,0,0,1
72123,1985,62.80245504,9,individual_heating,2,1,4
72256,2005,53.14053888,3,individual_heating,0,0,15
72256,2005,53.14053888,3,individual_heating,0,0,15
72566,1985,62.80245504,6,individual_heating,2,1,4
72566,1997,51.83989632,5,individual_heating,4,1,7
72566,1992,32.9805792,10,individual_heating,10,1,17
72566,2014,19.78834752,15,individual_heating,0,1,8
72654,2005,53.14053888,21,individual_heating,0,0,15
72654,2005,53.14053888,20,individual_heating,0,0,15
72920,2014,19.13802624,16,individual_heating,0,1,8
73008,2005,53.14053888,1,individual_heating,0,0,15
73008,2005,53.14053888,1,individual_heating,0,0,15
73008,2005,53.14053888,1,individual_heating,0,0,15
73008,1992,32.9805792,6,individual_heating,10,1,17
73008,1992,32.9805792,15,individual_heating,10,1,17
73053,2005,53.14053888,5,individual_heating,0,0,15
73053,2005,53.14053888,4,individual_heating,0,0,15
73053,2005,53.14053888,6,individual_heating,0,0,15
73053,2005,53.14053888,5,individual_heating,0,0,15
73053,2005,53.14053888,4,individual_heating,0,0,15
73053,2005,53.14053888,6,individual_heating,0,0,15
73442,2005,53.14053888,7,individual_heating,0,0,15
73442,2005,53.14053888,7,individual_heating,0,0,15
73442,2005,53.14053888,8,individual_heating,0,0,15
73442,2005,53.14053888,8,individual_heating,0,0,15
73442,2005,53.14053888,9,individual_heating,0,0,15
73442,2005,53.14053888,9,individual_heating,0,0,15
73451,1997,59.82955776,4,individual_heating,4,1,7
73451,1985,62.80245504,9,individual_heating,2,1,4
73451,1985,46.26571392,4,individual_heating,2,1,4
73840,2005,53.14053888,12,individual_heating,0,0,15
73840,2005,53.14053888,10,individual_heating,0,0,15
73840,2005,53.14053888,13,individual_heating,0,0,15
73840,2005,53.14053888,11,individual_heating,0,0,15
73840,2005,53.14053888,15,individual_heating,0,0,15
73840,2005,53.14053888,14,individual_heating,0,0,15
73840,2005,53.14053888,12,individual_heating,0,0,15
73840,2005,53.14053888,10,individual_heating,0,0,15
73840,2005,53.14053888,19,individual_heating,0,0,15
73840,2005,53.14053888,18,individual_heating,0,0,15
73840,2005,53.14053888,20,individual_heating,0,0,15
73840,2005,53.14053888,11,individual_heating,0,0,15
73840,2005,53.14053888,15,individual_heating,0,0,15
73840,2005,53.14053888,16,individual_heating,0,0,15
73840,2005,53.14053888,13,individual_heating,0,0,15
73840,2005,53.14053888,16,individual_heating,0,0,15
73840,2005,53.14053888,17,individual_heating,0,0,15
73840,2005,53.14053888,17,individual_heating,0,0,15
73840,2005,53.14053888,14,individual_heating,0,0,15
73840,2005,53.14053888,18,individual_heating,0,0,15
73840,2005,53.14053888,19,individual_heating,0,0,15
73893,1992,53.51215104,9,individual_heating,10,1,17
73893,1997,51.83989632,11,individual_heating,4,1,7
73893,1992,32.9805792,4,individual_heating,10,1,17
74256,2005,53.14053888,3,individual_heating,0,0,15
74256,2005,53.14053888,2,individual_heating,0,0,15
74256,2005,53.14053888,3,individual_heating,0,0,15
74256,2005,53.14053888,3,individual_heating,0,0,15
74256,2005,53.14053888,2,individual_heating,0,0,15
74256,2005,53.14053888,2,individual_heating,0,0,15
74256,2005,53.14053888,3,individual_heating,0,0,15
74256,2005,53.14053888,2,individual_heating,0,0,15
74256,2005,53.14053888,2,individual_heating,0,0,15
74256,2005,53.14053888,2,individual_heating,0,0,15
74256,2005,53.14053888,3,individual_heating,0,0,15
74256,2005,53.14053888,3,individual_heating,0,0,15
74336,1997,59.82955776,15,individual_heating,4,1,7
74336,1992,53.51215104,10,individual_heating,10,1,17
74336,2014,17.83738368,12,individual_heating,0,0,1
74336,1992,32.9805792,7,individual_heating,10,1,17
74672,2005,53.14053888,21,individual_heating,0,0,15
74672,2005,53.14053888,20,individual_heating,0,0,15
74672,2005,53.14053888,20,individual_heating,0,0,15
74672,2005,53.14053888,21,individual_heating,0,0,15
74778,1997,59.82955776,13,individual_heating,4,1,7
74778,1997,59.82955776,12,individual_heating,4,1,7
74778,1992,59.4579456,9,individual_heating,10,1,17
74778,2014,19.78834752,14,individual_heating,0,1,8
74955,2014,19.78834752,15,individual_heating,0,1,8
75088,2005,53.14053888,4,individual_heating,0,0,15
75088,2005,53.14053888,4,individual_heating,0,0,15
75088,2005,53.14053888,4,individual_heating,0,0,15
75088,2005,53.14053888,6,individual_heating,0,0,15
75088,2005,53.14053888,6,individual_heating,0,0,15
75088,2005,53.14053888,5,individual_heating,0,0,15
75088,2005,53.14053888,4,individual_heating,0,0,15
75088,2005,53.14053888,14,individual_heating,0,0,15
75088,2005,53.14053888,5,individual_heating,0,0,15
75088,2005,53.14053888,5,individual_heating,0,0,15
75088,2005,53.14053888,6,individual_heating,0,0,15
75088,2005,53.14053888,4,individual_heating,0,0,15
75088,2005,53.14053888,5,individual_heating,0,0,15
75088,2005,53.14053888,4,individual_heating,0,0,15
75088,2005,53.14053888,6,individual_heating,0,0,15
75088,2005,53.14053888,5,individual_heating,0,0,15
75088,2005,53.14053888,5,individual_heating,0,0,15
75088,2005,53.14053888,6,individual_heating,0,0,15
75221,1993,59.82955776,21,individual_heating,20,0,17
75221,1997,59.82955776,7,individual_heating,4,1,7
75221,1993,59.82955776,9,individual_heating,20,0,17
75221,1993,59.82955776,9,individual_heating,20,0,17
75221,1993,59.82955776,16,individual_heating,20,0,17
75221,1993,59.82955776,1,individual_heating,20,0,17
75221,1997,59.82955776,14,individual_heating,4,1,7
75221,1997,59.82955776,4,individual_heating,4,1,7
75221,1997,59.82955776,8,individual_heating,4,1,7
75221,1997,59.82955776,10,individual_heating,4,1,7
75221,1997,59.82955776,11,individual_heating,4,1,7
75221,1992,53.51215104,9,individual_heating,10,1,17
75221,1997,59.82955776,5,individual_heating,4,1,7
75221,1992,59.4579456,15,individual_heating,10,1,17
75221,1997,51.83989632,7,individual_heating,4,1,7
75221,1986,41.89927104,10,individual_heating,2,1,13
75221,1986,47.19474432,5,individual_heating,2,1,13
75221,2014,19.78834752,15,individual_heating,0,1,8
75221,2014,17.83738368,13,individual_heating,0,0,1
75504,2005,53.14053888,7,individual_heating,0,0,15
75504,2005,53.14053888,8,individual_heating,0,0,15
75504,2005,53.14053888,8,individual_heating,0,0,15
75504,2005,53.14053888,9,individual_heating,0,0,15
75504,2005,53.14053888,8,individual_heating,0,0,15
75504,2005,53.14053888,9,individual_heating,0,0,15
75504,2005,53.14053888,7,individual_heating,0,0,15
75504,2005,53.14053888,9,individual_heating,0,0,15
75504,2005,53.14053888,8,individual_heating,0,0,15
75504,2005,53.14053888,9,individual_heating,0,0,15
75504,2005,53.14053888,7,individual_heating,0,0,15
75504,2005,53.14053888,7,individual_heating,0,0,15
75504,2005,53.14053888,8,individual_heating,0,0,15
75504,2005,53.14053888,9,individual_heating,0,0,15
75504,2005,53.14053888,9,individual_heating,0,0,15
75504,2005,53.14053888,7,individual_heating,0,0,15
75504,2005,53.14053888,8,individual_heating,0,0,15
75920,2005,53.14053888,13,individual_heating,0,0,15
75920,2005,53.14053888,10,individual_heating,0,0,15
75920,2005,53.14053888,15,individual_heating,0,0,15
75920,2005,53.14053888,12,individual_heating,0,0,15
75920,2005,53.14053888,16,individual_heating,0,0,15
75920,2005,53.14053888,17,individual_heating,0,0,15
75920,2005,53.14053888,10,individual_heating,0,0,15
75920,2005,53.14053888,19,individual_heating,0,0,15
75920,2005,53.14053888,18,individual_heating,0,0,15
75920,2005,53.14053888,15,individual_heating,0,0,15
75920,2005,53.14053888,10,individual_heating,0,0,15
75920,2005,53.14053888,18,individual_heating,0,0,15
75920,2005,53.14053888,12,individual_heating,0,0,15
75920,2005,53.14053888,19,individual_heating,0,0,15
75920,2005,53.14053888,16,individual_heating,0,0,15
75920,2005,53.14053888,13,individual_heating,0,0,15
75920,2005,53.14053888,13,individual_heating,0,0,15
75920,2005,53.14053888,17,individual_heating,0,0,15
75920,2005,53.14053888,14,individual_heating,0,0,15
75920,2005,53.14053888,13,individual_heating,0,0,15
75920,2005,53.14053888,18,individual_heating,0,0,15
75920,2005,53.14053888,14,individual_heating,0,0,15
75920,2005,53.14053888,15,individual_heating,0,0,15
75920,2005,53.14053888,18,individual_heating,0,0,15
75920,2005,53.14053888,12,individual_heating,0,0,15
75920,2005,53.14053888,11,individual_heating,0,0,15
75920,2005,53.14053888,16,individual_heating,0,0,15
75920,2005,53.14053888,18,individual_heating,0,0,15
75920,2005,53.14053888,14,individual_heating,0,0,15
75920,2005,53.14053888,15,individual_heating,0,0,15
75920,2005,53.14053888,15,individual_heating,0,0,15
75920,2005,53.14053888,14,individual_heating,0,0,15
75920,2005,53.14053888,10,individual_heating,0,0,15
75920,2005,53.14053888,20,individual_heating,0,0,15
75920,2005,53.14053888,15,individual_heating,0,0,15
75920,2005,53.14053888,12,individual_heating,0,0,15
75920,2005,53.14053888,19,individual_heating,0,0,15
75920,2005,53.14053888,17,individual_heating,0,0,15
75920,2005,53.14053888,10,individual_heating,0,0,15
75920,2005,53.14053888,12,individual_heating,0,0,15
75920,2005,53.14053888,20,individual_heating,0,0,15
75920,2005,53.14053888,17,individual_heating,0,0,15
75920,2005,53.14053888,16,individual_heating,0,0,15
75920,2005,53.14053888,16,individual_heating,0,0,15
75920,2005,53.14053888,19,individual_heating,0,0,15
75920,2005,53.14053888,16,individual_heating,0,0,15
75920,2005,53.14053888,14,individual_heating,0,0,15
75920,2005,53.14053888,11,individual_heating,0,0,15
75920,2005,53.14053888,11,individual_heating,0,0,15
75920,2005,53.14053888,17,individual_heating,0,0,15
75920,2005,53.14053888,13,individual_heating,0,0,15
75920,2005,53.14053888,19,individual_heating,0,0,15
75920,2005,53.14053888,17,individual_heating,0,0,15
75920,2005,53.14053888,13,individual_heating,0,0,15
75920,2005,53.14053888,11,individual_heating,0,0,15
75920,2005,53.14053888,20,individual_heating,0,0,15
75920,2005,53.14053888,11,individual_heating,0,0,15
75920,2005,53.14053888,18,individual_heating,0,0,15
75920,2005,53.14053888,10,individual_heating,0,0,15
76106,1997,59.82955776,7,individual_heating,4,1,7
76106,1997,51.83989632,11,individual_heating,4,1,7
76106,1985,54.53408448,4,individual_heating,2,1,4
76548,1993,59.82955776,5,individual_heating,20,0,17
76548,1997,59.82955776,4,individual_heating,4,1,7
76991,1993,59.82955776,5,individual_heating,20,0,17
76991,1997,59.82955776,8,individual_heating,4,1,7
76991,1980,84.5417664,2,individual_heating,20,0,17
77433,1997,59.82955776,10,individual_heating,4,1,7
77433,1992,32.9805792,10,individual_heating,10,1,17
77876,1992,59.82955776,7,individual_heating,8,0,14
77876,1993,59.82955776,1,individual_heating,20,0,17
77876,1993,59.82955776,6,individual_heating,20,0,17
77876,1993,59.82955776,2,individual_heating,20,0,17
77876,1992,59.82955776,4,individual_heating,8,0,14
77876,1992,32.9805792,9,individual_heating,10,1,17
